Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
David Bednar ,64.7,77,3,31,3.37,1.16,24,54,21,7,64,0,3,0,8451 d,PIT 
Marcus Stroman ,153.6,129,10,0,4.00,1.30,68,150,50,18,28,28,8,1,4796 d,NYY 
Kyle Bradish ,114.6,113,8,0,3.77,1.23,48,104,37,13,19,20,6,0,39964 ,BAL 
Reid Detmers ,159.8,171,9,0,4.27,1.29,76,146,60,23,29,29,9,0,43840 ,LAA 
Jordan Romano ,62.2,74,4,32,3.53,1.19,24,51,23,8,62,0,3,0,7647 d,TOR 
Kenta Maeda ,135.8,138,8,0,4.23,1.23,64,127,40,20,32,25,9,0,5939 d,DET 
Clay Holmes ,64.9,69,4,31,3.43,1.24,25,56,25,5,64,0,3,0,6584 d,NYY 
Yusei Kikuchi ,149.2,158,9,0,4.21,1.30,70,139,55,23,29,29,8,0,7015 d,TOR 
Gavin Williams ,139.8,141,8,0,4.08,1.28,63,123,55,19,26,26,8,0,44694 ,CLE 
Lance Lynn ,169.2,158,10,0,4.41,1.29,83,166,53,27,30,29,10,0,3661 d,STL 
Sean Manaea ,141.8,147,8,0,4.24,1.26,67,133,46,21,28,23,9,0,4944 d,NYM 
Griffin Canning ,143.1,150,8,0,4.24,1.27,67,135,47,22,26,26,8,0,7166 d,LAA 
Ryan Pepiot ,134.4,136,8,0,4.16,1.26,62,118,50,20,29,24,7,0,38313 ,TB 
Jon Gray ,155.9,151,9,0,4.29,1.29,74,148,53,22,28,28,9,1,4933 d,TEX 
Taj Bradley ,125.9,131,8,0,4.15,1.25,58,115,43,19,38,21,7,0,44442 ,TB 
Brandon Pfaadt ,143.2,136,8,0,4.33,1.24,69,141,37,23,27,27,9,0,44436 ,ARI 
